workload_id,tp,phase,histogram,calls,logical_payload_bytes,equivalent_bytes,equivalent_rounds
burstgpt_1-473705000,2,prefill,true,true,true,true,true
burstgpt_1-473705000,2,decode,true,true,true,true,true
burstgpt_1-3064205000,2,prefill,true,true,true,true,true
burstgpt_1-3064205000,2,decode,true,true,true,true,true
burstgpt_1-820805000,2,prefill,true,true,true,true,true
burstgpt_1-820805000,2,decode,true,true,true,true,true
burstgpt_1-5261105000,2,prefill,true,true,true,true,true
burstgpt_1-5261105000,2,decode,true,true,true,true,true
burstgpt_2-8089814000,2,prefill,true,true,true,true,true
burstgpt_2-8089814000,2,decode,true,true,true,true,true
burstgpt_2-10354514000,2,prefill,true,true,true,true,true
burstgpt_2-10354514000,2,decode,true,true,true,true,true
burstgpt_2-10191314000,2,prefill,true,true,true,true,true
burstgpt_2-10191314000,2,decode,true,true,true,true,true
burstgpt_2-6635114000,2,prefill,true,true,true,true,true
burstgpt_2-6635114000,2,decode,true,true,true,true,true
burstgpt_2-5303114000,2,prefill,true,true,true,true,true
burstgpt_2-5303114000,2,decode,true,true,true,true,true
burstgpt_2-7308914000,2,prefill,true,true,true,true,true
burstgpt_2-7308914000,2,decode,true,true,true,true,true
burstgpt_3-26764310000,2,prefill,true,true,true,true,true
burstgpt_3-26764310000,2,decode,true,true,true,true,true
burstgpt_3-26622110000,2,prefill,true,true,true,true,true
burstgpt_3-26622110000,2,decode,true,true,true,true,true
burstgpt_3-26612510000,2,prefill,true,true,true,true,true
burstgpt_3-26612510000,2,decode,true,true,true,true,true
burstgpt_3-23448410000,2,prefill,true,true,true,true,true
burstgpt_3-23448410000,2,decode,true,true,true,true,true
mooncake_conversation-2100000,2,prefill,true,true,true,true,true
mooncake_conversation-2100000,2,decode,true,true,true,true,true
mooncake_conversation-360000,2,prefill,true,true,true,true,true
mooncake_conversation-360000,2,decode,true,true,true,true,true
mooncake_conversation-2160000,2,prefill,true,true,true,true,true
mooncake_conversation-2160000,2,decode,true,true,true,true,true
mooncake_toolagent-2100000,2,prefill,true,true,true,true,true
mooncake_toolagent-2100000,2,decode,true,true,true,true,true
mooncake_toolagent-420000,2,prefill,true,true,true,true,true
mooncake_toolagent-420000,2,decode,true,true,true,true,true
mooncake_toolagent-540000,2,prefill,true,true,true,true,true
mooncake_toolagent-540000,2,decode,true,true,true,true,true
burstgpt_1-473705000,4,prefill,true,true,true,true,true
burstgpt_1-473705000,4,decode,true,true,true,true,true
burstgpt_1-3064205000,4,prefill,true,true,true,true,true
burstgpt_1-3064205000,4,decode,true,true,true,true,true
burstgpt_1-820805000,4,prefill,true,true,true,true,true
burstgpt_1-820805000,4,decode,true,true,true,true,true
burstgpt_1-5261105000,4,prefill,true,true,true,true,true
burstgpt_1-5261105000,4,decode,true,true,true,true,true
burstgpt_2-8089814000,4,prefill,true,true,true,true,true
burstgpt_2-8089814000,4,decode,true,true,true,true,true
burstgpt_2-10354514000,4,prefill,true,true,true,true,true
burstgpt_2-10354514000,4,decode,true,true,true,true,true
burstgpt_2-10191314000,4,prefill,true,true,true,true,true
burstgpt_2-10191314000,4,decode,true,true,true,true,true
burstgpt_2-6635114000,4,prefill,true,true,true,true,true
burstgpt_2-6635114000,4,decode,true,true,true,true,true
burstgpt_2-5303114000,4,prefill,true,true,true,true,true
burstgpt_2-5303114000,4,decode,true,true,true,true,true
burstgpt_2-7308914000,4,prefill,true,true,true,true,true
burstgpt_2-7308914000,4,decode,true,true,true,true,true
burstgpt_3-26764310000,4,prefill,true,true,true,true,true
burstgpt_3-26764310000,4,decode,true,true,true,true,true
burstgpt_3-26622110000,4,prefill,true,true,true,true,true
burstgpt_3-26622110000,4,decode,true,true,true,true,true
burstgpt_3-26612510000,4,prefill,true,true,true,true,true
burstgpt_3-26612510000,4,decode,true,true,true,true,true
burstgpt_3-23448410000,4,prefill,true,true,true,true,true
burstgpt_3-23448410000,4,decode,true,true,true,true,true
mooncake_conversation-2100000,4,prefill,true,true,true,true,true
mooncake_conversation-2100000,4,decode,true,true,true,true,true
mooncake_conversation-360000,4,prefill,true,true,true,true,true
mooncake_conversation-360000,4,decode,true,true,true,true,true
mooncake_conversation-2160000,4,prefill,true,true,true,true,true
mooncake_conversation-2160000,4,decode,true,true,true,true,true
mooncake_toolagent-2100000,4,prefill,true,true,true,true,true
mooncake_toolagent-2100000,4,decode,true,true,true,true,true
mooncake_toolagent-420000,4,prefill,true,true,true,true,true
mooncake_toolagent-420000,4,decode,true,true,true,true,true
mooncake_toolagent-540000,4,prefill,true,true,true,true,true
mooncake_toolagent-540000,4,decode,true,true,true,true,true
burstgpt_1-473705000,8,prefill,true,true,true,true,true
burstgpt_1-473705000,8,decode,true,true,true,true,true
burstgpt_1-3064205000,8,prefill,true,true,true,true,true
burstgpt_1-3064205000,8,decode,true,true,true,true,true
burstgpt_1-820805000,8,prefill,true,true,true,true,true
burstgpt_1-820805000,8,decode,true,true,true,true,true
burstgpt_1-5261105000,8,prefill,true,true,true,true,true
burstgpt_1-5261105000,8,decode,true,true,true,true,true
burstgpt_2-8089814000,8,prefill,true,true,true,true,true
burstgpt_2-8089814000,8,decode,true,true,true,true,true
burstgpt_2-10354514000,8,prefill,true,true,true,true,true
burstgpt_2-10354514000,8,decode,true,true,true,true,true
burstgpt_2-10191314000,8,prefill,true,true,true,true,true
burstgpt_2-10191314000,8,decode,true,true,true,true,true
burstgpt_2-6635114000,8,prefill,true,true,true,true,true
burstgpt_2-6635114000,8,decode,true,true,true,true,true
burstgpt_2-5303114000,8,prefill,true,true,true,true,true
burstgpt_2-5303114000,8,decode,true,true,true,true,true
burstgpt_2-7308914000,8,prefill,true,true,true,true,true
burstgpt_2-7308914000,8,decode,true,true,true,true,true
burstgpt_3-26764310000,8,prefill,true,true,true,true,true
burstgpt_3-26764310000,8,decode,true,true,true,true,true
burstgpt_3-26622110000,8,prefill,true,true,true,true,true
burstgpt_3-26622110000,8,decode,true,true,true,true,true
burstgpt_3-26612510000,8,prefill,true,true,true,true,true
burstgpt_3-26612510000,8,decode,true,true,true,true,true
burstgpt_3-23448410000,8,prefill,true,true,true,true,true
burstgpt_3-23448410000,8,decode,true,true,true,true,true
mooncake_conversation-2100000,8,prefill,true,true,true,true,true
mooncake_conversation-2100000,8,decode,true,true,true,true,true
mooncake_conversation-360000,8,prefill,true,true,true,true,true
mooncake_conversation-360000,8,decode,true,true,true,true,true
mooncake_conversation-2160000,8,prefill,true,true,true,true,true
mooncake_conversation-2160000,8,decode,true,true,true,true,true
mooncake_toolagent-2100000,8,prefill,true,true,true,true,true
mooncake_toolagent-2100000,8,decode,true,true,true,true,true
mooncake_toolagent-420000,8,prefill,true,true,true,true,true
mooncake_toolagent-420000,8,decode,true,true,true,true,true
mooncake_toolagent-540000,8,prefill,true,true,true,true,true
mooncake_toolagent-540000,8,decode,true,true,true,true,true
