workload_id,model,mode,case_label,batch_size,input_len,prefill_chunk_size,split
deepseek-v2-lite-chunk-c1024-b1-l1023-m8-9fe316,deepseek-v2-lite,chunked_prefill,c1024,1,1023,1024,train
deepseek-v2-lite-chunk-c1024-b1-l1024-m8-9fe316,deepseek-v2-lite,chunked_prefill,c1024,1,1024,1024,train
deepseek-v2-lite-chunk-c1024-b1-l1025-m8-9fe316,deepseek-v2-lite,chunked_prefill,c1024,1,1025,1024,train
deepseek-v2-lite-chunk-c1024-b1-l2047-m8-9fe316,deepseek-v2-lite,chunked_prefill,c1024,1,2047,1024,validation
deepseek-v2-lite-chunk-c1024-b1-l2048-m8-9fe316,deepseek-v2-lite,chunked_prefill,c1024,1,2048,1024,train
deepseek-v2-lite-chunk-c1024-b1-l2049-m8-9fe316,deepseek-v2-lite,chunked_prefill,c1024,1,2049,1024,train
deepseek-v2-lite-chunk-c1024-b4-l1023-m8-0d8dda,deepseek-v2-lite,chunked_prefill,c1024,4,1023,1024,train
deepseek-v2-lite-chunk-c1024-b4-l1024-m8-0d8dda,deepseek-v2-lite,chunked_prefill,c1024,4,1024,1024,train
deepseek-v2-lite-chunk-c1024-b4-l1025-m8-0d8dda,deepseek-v2-lite,chunked_prefill,c1024,4,1025,1024,test
deepseek-v2-lite-chunk-c1024-b4-l2047-m8-0d8dda,deepseek-v2-lite,chunked_prefill,c1024,4,2047,1024,train
deepseek-v2-lite-chunk-c1024-b4-l2048-m8-0d8dda,deepseek-v2-lite,chunked_prefill,c1024,4,2048,1024,train
deepseek-v2-lite-chunk-c1024-b4-l2049-m8-0d8dda,deepseek-v2-lite,chunked_prefill,c1024,4,2049,1024,train
deepseek-v2-lite-chunk-c2048-b1-l2047-m8-9fe316,deepseek-v2-lite,chunked_prefill,c2048,1,2047,2048,train
deepseek-v2-lite-chunk-c2048-b1-l2048-m8-9fe316,deepseek-v2-lite,chunked_prefill,c2048,1,2048,2048,test
deepseek-v2-lite-chunk-c2048-b1-l2049-m8-9fe316,deepseek-v2-lite,chunked_prefill,c2048,1,2049,2048,train
deepseek-v2-lite-chunk-c2048-b1-l4095-m8-9fe316,deepseek-v2-lite,chunked_prefill,c2048,1,4095,2048,validation
deepseek-v2-lite-chunk-c2048-b1-l4096-m8-9fe316,deepseek-v2-lite,chunked_prefill,c2048,1,4096,2048,validation
deepseek-v2-lite-chunk-c2048-b1-l4097-m8-9fe316,deepseek-v2-lite,chunked_prefill,c2048,1,4097,2048,train
deepseek-v2-lite-chunk-c2048-b4-l2047-m8-0d8dda,deepseek-v2-lite,chunked_prefill,c2048,4,2047,2048,train
deepseek-v2-lite-chunk-c2048-b4-l2048-m8-0d8dda,deepseek-v2-lite,chunked_prefill,c2048,4,2048,2048,validation
deepseek-v2-lite-chunk-c2048-b4-l2049-m8-0d8dda,deepseek-v2-lite,chunked_prefill,c2048,4,2049,2048,train
deepseek-v2-lite-chunk-c2048-b4-l4095-m8-0d8dda,deepseek-v2-lite,chunked_prefill,c2048,4,4095,2048,train
deepseek-v2-lite-chunk-c2048-b4-l4096-m8-0d8dda,deepseek-v2-lite,chunked_prefill,c2048,4,4096,2048,train
deepseek-v2-lite-chunk-c2048-b4-l4097-m8-0d8dda,deepseek-v2-lite,chunked_prefill,c2048,4,4097,2048,train
deepseek-v2-lite-chunk-c4096-b1-l4095-m8-9fe316,deepseek-v2-lite,chunked_prefill,c4096,1,4095,4096,train
deepseek-v2-lite-chunk-c4096-b1-l4096-m8-9fe316,deepseek-v2-lite,chunked_prefill,c4096,1,4096,4096,test
deepseek-v2-lite-chunk-c4096-b1-l4097-m8-9fe316,deepseek-v2-lite,chunked_prefill,c4096,1,4097,4096,train
deepseek-v2-lite-chunk-c4096-b1-l8191-m8-9fe316,deepseek-v2-lite,chunked_prefill,c4096,1,8191,4096,test
deepseek-v2-lite-chunk-c4096-b1-l8192-m8-9fe316,deepseek-v2-lite,chunked_prefill,c4096,1,8192,4096,train
deepseek-v2-lite-chunk-c4096-b1-l8193-m8-9fe316,deepseek-v2-lite,chunked_prefill,c4096,1,8193,4096,validation
deepseek-v2-lite-chunk-c4096-b4-l4095-m8-0d8dda,deepseek-v2-lite,chunked_prefill,c4096,4,4095,4096,validation
deepseek-v2-lite-chunk-c4096-b4-l4096-m8-0d8dda,deepseek-v2-lite,chunked_prefill,c4096,4,4096,4096,train
deepseek-v2-lite-chunk-c4096-b4-l4097-m8-0d8dda,deepseek-v2-lite,chunked_prefill,c4096,4,4097,4096,test
deepseek-v2-lite-chunk-c4096-b4-l8191-m8-0d8dda,deepseek-v2-lite,chunked_prefill,c4096,4,8191,4096,train
deepseek-v2-lite-chunk-c4096-b4-l8192-m8-0d8dda,deepseek-v2-lite,chunked_prefill,c4096,4,8192,4096,train
deepseek-v2-lite-chunk-c4096-b4-l8193-m8-0d8dda,deepseek-v2-lite,chunked_prefill,c4096,4,8193,4096,test
deepseek-v2-lite-mixed-balanced,deepseek-v2-lite,mixed_same_coarse,balanced,8,512,0,train
deepseek-v2-lite-mixed-bimodal,deepseek-v2-lite,mixed_same_coarse,bimodal,8,512,0,test
deepseek-v2-lite-mixed-staircase,deepseek-v2-lite,mixed_same_coarse,staircase,8,512,0,validation
qwen3-30b-a3b-chunk-c1024-b1-l1023-m8-9fe316,qwen3-30b-a3b,chunked_prefill,c1024,1,1023,1024,train
qwen3-30b-a3b-chunk-c1024-b1-l1024-m8-9fe316,qwen3-30b-a3b,chunked_prefill,c1024,1,1024,1024,test
qwen3-30b-a3b-chunk-c1024-b1-l1025-m8-9fe316,qwen3-30b-a3b,chunked_prefill,c1024,1,1025,1024,train
qwen3-30b-a3b-chunk-c1024-b1-l2047-m8-9fe316,qwen3-30b-a3b,chunked_prefill,c1024,1,2047,1024,train
