workload_id,phase,logical_pattern_tp_invariant,calls,logical_payload_bytes,tp2_equivalent_bytes,tp4_equivalent_bytes,tp8_equivalent_bytes,tp2_equivalent_rounds,tp4_equivalent_rounds,tp8_equivalent_rounds,calls_by_op_payload_json
burstgpt_1-473705000,prefill,true,73,2390867968,2390867968.0,3586301952.0,4184018944.0,146,438,1022,"{""all_reduce:32751616"":73}"
burstgpt_1-473705000,decode,true,9271,304988160,304988160.0,457482240.0,533729280.0,18542,55626,129794,"{""all_reduce:24576"":5402,""all_reduce:32768"":657,""all_reduce:40960"":1752,""all_reduce:49152"":584,""all_reduce:57344"":876}"
burstgpt_1-3064205000,prefill,true,73,1345536000,1345536000.0,2018304000.0,2354688000.0,146,438,1022,"{""all_reduce:18432000"":73}"
burstgpt_1-3064205000,decode,true,876,13754368,13754368.0,20631552.0,24070144.0,1752,5256,12264,"{""all_reduce:24576"":146,""all_reduce:65536"":73,""all_reduce:8192"":657}"
burstgpt_1-820805000,prefill,true,73,374956032,374956032.0,562434048.0,656173056.0,146,438,1022,"{""all_reduce:5136384"":73}"
burstgpt_1-820805000,decode,true,1752,26910720,26910720.0,40366080.0,47093760.0,3504,10512,24528,"{""all_reduce:16384"":1533,""all_reduce:8192"":219}"
burstgpt_1-5261105000,prefill,true,73,5044862976,5044862976.0,7567294464.0,8828510208.0,146,438,1022,"{""all_reduce:69107712"":73}"
burstgpt_1-5261105000,decode,true,9271,151896064,151896064.0,227844096.0,265818112.0,18542,55626,129794,"{""all_reduce:16384"":9271}"
burstgpt_2-8089814000,prefill,true,73,777420800,777420800.0,1166131200.0,1360486400.0,146,438,1022,"{""all_reduce:10649600"":73}"
burstgpt_2-8089814000,decode,true,9271,165052416,165052416.0,247578624.0,288841728.0,18542,55626,129794,"{""all_reduce:16384"":8395,""all_reduce:24576"":146,""all_reduce:32768"":730}"
burstgpt_2-10354514000,prefill,true,73,965795840,965795840.0,1448693760.0,1690142720.0,146,438,1022,"{""all_reduce:13230080"":73}"
burstgpt_2-10354514000,decode,true,438,28704768,28704768.0,43057152.0,50233344.0,876,2628,6132,"{""all_reduce:65536"":438}"
burstgpt_2-10191314000,prefill,true,73,971177984,971177984.0,1456766976.0,1699561472.0,146,438,1022,"{""all_reduce:13303808"":73}"
burstgpt_2-10191314000,decode,true,438,28704768,28704768.0,43057152.0,50233344.0,876,2628,6132,"{""all_reduce:65536"":438}"
burstgpt_2-6635114000,prefill,true,73,775626752,775626752.0,1163440128.0,1357346816.0,146,438,1022,"{""all_reduce:10625024"":73}"
burstgpt_2-6635114000,decode,true,1606,61595648,61595648.0,92393472.0,107792384.0,3212,9636,22484,"{""all_reduce:16384"":146,""all_reduce:24576"":292,""all_reduce:32768"":219,""all_reduce:40960"":365,""all_reduce:65536"":438,""all_reduce:8192"":146}"
burstgpt_2-5303114000,prefill,true,73,4736884736,4736884736.0,7105327104.0,8289548288.0,146,438,1022,"{""all_reduce:64888832"":73}"
