cell_id,model,tp,profile_id,policy,phase,requests,calls_abs_error,logical_bytes_abs_error,histogram_calls_l1,histogram_logical_bytes_l1,exact
phase25a-existing-qwen3-8b-tp2-smoke,qwen3-8b,2,profile_13_burstgpt_3_c2,balanced,decode,42,0.0,3.814697265625e-06,0.0,0.0,True
phase25a-existing-qwen3-8b-tp2-smoke,qwen3-8b,2,profile_13_burstgpt_3_c2,balanced,prefill,42,1.8189894035458565e-12,0.0,0.0,0.0,True
phase25a-existing-qwen3-8b-tp2-smoke,qwen3-8b,2,profile_13_burstgpt_3_c2,latency,decode,42,0.0,0.0,0.0,0.0,True
phase25a-existing-qwen3-8b-tp2-smoke,qwen3-8b,2,profile_13_burstgpt_3_c2,latency,prefill,42,0.0,0.0,0.0,0.0,True
phase25a-existing-qwen3-8b-tp2-smoke,qwen3-8b,2,profile_13_burstgpt_3_c2,throughput,decode,42,1.1641532182693481e-10,0.0,0.0,0.0,True
phase25a-existing-qwen3-8b-tp2-smoke,qwen3-8b,2,profile_13_burstgpt_3_c2,throughput,prefill,42,9.094947017729282e-13,0.0,0.0,0.0,True
qwen3-30b-a3b-tp4-burstgpt,qwen3-30b-a3b,4,profile_13_burstgpt_3_c2,balanced,decode,42,0.0,3.814697265625e-06,0.0,0.0,True
qwen3-30b-a3b-tp4-burstgpt,qwen3-30b-a3b,4,profile_13_burstgpt_3_c2,balanced,prefill,42,1.8189894035458565e-12,0.0,0.0,0.0,True
qwen3-30b-a3b-tp4-burstgpt,qwen3-30b-a3b,4,profile_13_burstgpt_3_c2,latency,decode,42,0.0,3.814697265625e-06,0.0,0.0,True
qwen3-30b-a3b-tp4-burstgpt,qwen3-30b-a3b,4,profile_13_burstgpt_3_c2,latency,prefill,42,0.0,3.0517578125e-05,0.0,0.0,True
qwen3-30b-a3b-tp4-burstgpt,qwen3-30b-a3b,4,profile_13_burstgpt_3_c2,throughput,decode,42,0.0,0.0,0.0,0.0,True
qwen3-30b-a3b-tp4-burstgpt,qwen3-30b-a3b,4,profile_13_burstgpt_3_c2,throughput,prefill,42,9.094947017729282e-13,3.0517578125e-05,0.0,0.0,True
deepseek-v2-lite-tp8-burstgpt,deepseek-v2-lite,8,profile_03_burstgpt_1_c2,balanced,decode,312,0.0,0.0,0.0,0.0,True
deepseek-v2-lite-tp8-burstgpt,deepseek-v2-lite,8,profile_03_burstgpt_1_c2,balanced,prefill,312,9.094947017729282e-13,0.0,0.0,0.0,True
deepseek-v2-lite-tp8-burstgpt,deepseek-v2-lite,8,profile_03_burstgpt_1_c2,latency,decode,312,0.0,0.0,0.0,0.0,True
deepseek-v2-lite-tp8-burstgpt,deepseek-v2-lite,8,profile_03_burstgpt_1_c2,latency,prefill,312,1.8189894035458565e-12,0.0,0.0,0.0,True
deepseek-v2-lite-tp8-burstgpt,deepseek-v2-lite,8,profile_03_burstgpt_1_c2,throughput,decode,312,0.0,0.0,0.0,0.0,True
deepseek-v2-lite-tp8-burstgpt,deepseek-v2-lite,8,profile_03_burstgpt_1_c2,throughput,prefill,312,0.0,0.0,0.0,0.0,True
qwen3-8b-tp8-long-prompt,qwen3-8b,8,profile_14_burstgpt_3_c3,balanced,decode,48,0.0,0.0,0.0,0.0,True
qwen3-8b-tp8-long-prompt,qwen3-8b,8,profile_14_burstgpt_3_c3,balanced,prefill,48,0.0,0.0,0.0,0.0,True
qwen3-8b-tp8-long-prompt,qwen3-8b,8,profile_14_burstgpt_3_c3,latency,decode,48,0.0,0.0,0.0,0.0,True
qwen3-8b-tp8-long-prompt,qwen3-8b,8,profile_14_burstgpt_3_c3,latency,prefill,48,0.0,0.0,0.0,0.0,True
qwen3-8b-tp8-long-prompt,qwen3-8b,8,profile_14_burstgpt_3_c3,throughput,decode,48,0.0,0.0,0.0,0.0,True
qwen3-8b-tp8-long-prompt,qwen3-8b,8,profile_14_burstgpt_3_c3,throughput,prefill,48,0.0,0.0,0.0,0.0,True
